match_id,team_id,matches,possessions,passes,completed_passes,carries,shots,goals,statsbomb_xg,non_penalty_xg,open_play_xg,set_piece_xg,xt_added,positive_xt,negative_xt,progressive_passes,progressive_carries,final_third_entries,box_entries,final_third_possession_entries,box_possession_entries,xg_per_shot,xt_per_possession,progressive_passes_per_100_passes,progressive_carries_per_100_possessions,final_third_entries_per_possession,box_entries_per_possession
3857259,786,1,109,536,433,452,15,3,1.738067283,1.738067283,1.024298921,0.49112363200000003,3.2044818051026427,6.802903615067679,-3.5984218099650365,25,30,83,50,55,39,0.1158711522,0.029398915643143512,4.664179104477612,27.522935779816514,0.7614678899082569,0.45871559633027525
3857259,2722,1,114,395,279,286,13,3,2.0703093487,2.0703093487,0.15109278799999998,1.3767033507,0.945552234513739,3.530868220823697,-2.5853159863099573,15,15,64,36,51,32,0.15925456528461537,0.008294317846611747,3.79746835443038,13.157894736842104,0.5614035087719298,0.3157894736842105
3857260,794,1,135,488,371,352,26,2,2.3221233279,2.3221233279,0.3663040684,1.2009347395,2.9038925903903055,5.770859978763674,-2.8669673883733693,23,13,84,65,74,49,0.08931243568846153,0.021510315484372634,4.713114754098361,9.62962962962963,0.6222222222222222,0.48148148148148145
3857260,799,1,114,322,197,202,10,1,1.076111142,1.076111142,0.61729069,0.44571497299999996,1.7670453953760643,3.577742897222085,-1.8106975018460207,14,5,61,27,49,25,0.1076111142,0.015500398205053195,4.3478260869565215,4.385964912280701,0.5350877192982456,0.23684210526315788
3857261,768,1,91,630,557,552,18,3,2.91548517,2.91548517,0.740719945,1.0708076149999999,1.5782617702018493,5.958783297833943,-4.380521527632094,12,15,60,42,37,33,0.16197139833333335,0.017343535936284057,1.9047619047619049,16.483516483516482,0.6593406593406593,0.46153846153846156
3857261,907,1,86,351,276,250,7,0,0.208009498,0.208009498,0.058446433,0.120104575,0.6290362883903637,2.6358140231076517,-2.0067777347172875,9,6,34,15,32,12,0.029715642571428568,0.0073143754463995785,2.564102564102564,6.976744186046512,0.3953488372093023,0.1744186046511628
3857262,780,1,92,619,536,525,13,1,0.973722266,0.973722266,0.151123695,0.784986956,1.7680725814089489,6.786401959473064,-5.018329378064116,19,22,82,48,48,35,0.07490171276923077,0.019218180232705967,3.0694668820678515,23.91304347826087,0.8913043478260869,0.5217391304347826
3857262,791,1,89,388,313,278,12,2,1.398982474,1.398982474,0.124523276,0.852497918,1.4998410358202616,4.03588451388147,-2.5360434780612087,17,11,63,28,46,24,0.11658187283333334,0.01685214646989058,4.381443298969072,12.359550561797752,0.7078651685393258,0.3146067415730337
3857263,770,1,100,371,293,305,11,1,1.1469521137,1.1469521137,0.534005554,0.4485344897,1.574246757665055,3.6406229580045615,-2.0663762003395063,13,16,45,34,39,31,0.10426837397272727,0.01574246757665055,3.5040431266846364,16.0,0.45,0.34
3857263,772,1,112,663,582,542,7,1,0.6395007165,0.6395007165,0.122764123,0.5167365935,1.9195478611628656,5.858819430436898,-3.939271569274033,13,20,56,28,39,25,0.0913572452142857,0.017138820188954157,1.9607843137254901,17.857142857142858,0.5,0.25
3857264,779,1,83,909,831,804,24,2,3.0766596990000004,2.293159699,1.269655113,0.892010915,3.3838971571254426,10.832476928959746,-7.448579771834303,21,46,113,58,45,38,0.12819415412500001,0.0407698452665716,2.31023102310231,55.42168674698795,1.3614457831325302,0.6987951807228916
3857264,789,1,77,337,270,235,4,0,0.197595245,0.197595245,,0.197595245,1.0037242359958045,2.8731533663059876,-1.8694291303101833,6,4,33,12,27,10,0.04939881125,0.013035379688257201,1.7804154302670623,5.194805194805195,0.42857142857142855,0.15584415584415584
3857265,789,1,102,362,263,264,6,0,1.137926228,0.35442622799999995,0.07129421,0.181463138,2.1438583720394435,4.194195976066877,-2.0503376040274333,14,14,73,25,53,24,0.18965437133333332,0.021018219333720035,3.867403314917127,13.725490196078432,0.7156862745098039,0.24509803921568626
3857265,794,1,110,544,442,465,11,0,0.5291349314,0.5291349314,0.008207667,0.5209272644,2.9335398508105084,6.3420684637257025,-3.4085286129151937,17,19,75,49,54,39,0.04810317558181818,0.02666854409827735,3.125,17.272727272727273,0.6818181818181818,0.44545454545454544
3857266,771,1,94,540,468,515,21,2,1.9335694290000003,1.9335694290000003,0.5842489120000001,1.29161805,3.348677285913365,6.936779559559378,-3.5881022736460135,8,21,66,41,48,31,0.09207473471428573,0.03562422644588686,1.4814814814814816,22.340425531914892,0.7021276595744681,0.43617021276595747
3857266,776,1,97,567,480,491,10,1,0.8885438419999999,0.8885438419999999,0.022105378000000002,0.628874021,1.7155363973624733,5.381075710539253,-3.6655393131767795,23,10,77,35,49,29,0.0888543842,0.01768594224085024,4.056437389770723,10.309278350515463,0.7938144329896907,0.36082474226804123
3857267,787,1,109,311,218,245,13,2,1.7074647099999998,0.92396471,0.069054389,0.854910321,2.2065135899734707,4.074448404112143,-1.8679348141386722,13,14,64,34,47,27,0.13134343923076922,0.02024324394471074,4.180064308681672,12.844036697247708,0.5871559633027523,0.3119266055045872
3857267,3565,1,104,465,368,340,9,1,1.001662787,1.001662787,0.042533338,0.959129449,2.0211524535398504,4.546079239150026,-2.524926785610175,11,15,77,31,54,27,0.11129586522222223,0.019434158207113948,2.3655913978494625,14.423076923076922,0.7403846153846154,0.2980769230769231
3857268,782,1,102,534,456,450,9,1,0.6700408539999999,0.6700408539999999,0.310981526,0.341507327,1.9722994847097133,4.897166918346073,-2.92486743363636,12,20,51,24,44,22,0.07444898377777777,0.019336269457938364,2.247191011235955,19.607843137254903,0.5,0.23529411764705882
3857268,1833,1,95,480,403,422,22,0,2.5462123360000004,1.762712336,0.43917124600000007,0.97216314,3.193660777710524,6.055604671472478,-2.8619438937619543,22,27,78,55,52,40,0.11573692436363638,0.033617481870637095,4.583333333333333,28.421052631578945,0.8210526315789474,0.5789473684210527
