team_id,matches,possessions,passes,completed_passes,carries,shots,goals,statsbomb_xg,non_penalty_xg,open_play_xg,set_piece_xg,xt_added,positive_xt,negative_xt,progressive_passes,progressive_carries,final_third_entries,box_entries,final_third_possession_entries,box_possession_entries,xg_per_shot,xt_per_possession,progressive_passes_per_100_passes,progressive_carries_per_100_possessions,final_third_entries_per_possession,box_entries_per_possession
785,7,801,4511,3823,3765,79,8,6.9017023989,6.9017023989,3.048489996,3.5780373429,18.443248821087618,47.69184945683857,-29.248600635750954,125,141,546,322,385,244,0.08736332150506329,0.02302527942707568,2.7710042119264022,17.60299625468165,0.6816479400749064,0.4019975031210986
786,3,317,1503,1197,1180,32,5,3.090397962,3.090397962,1.780877289,0.9275918030000001,7.2595664241646976,16.52034554122023,-9.260779117055531,59,61,221,106,150,86,0.0965749363125,0.022900840454778224,3.9254823685961413,19.242902208201894,0.6971608832807571,0.334384858044164
787,4,397,1696,1358,1345,50,5,4.2747284715,3.4912284715,1.6359122460000002,1.8553162255,7.467814867515932,19.479793931727563,-12.011979064211634,50,67,254,138,180,110,0.08549456942999999,0.01881061679475046,2.94811320754717,16.876574307304786,0.6397984886649875,0.34760705289672544
788,7,692,2865,2311,2387,62,6,5.544369942,5.544369942,1.216087354,4.162243264000001,13.824779999510847,28.090410519780136,-14.265630520269289,74,107,357,171,283,147,0.0894253216451613,0.019978005779639953,2.582897033158813,15.462427745664739,0.5158959537572254,0.24710982658959538
789,4,372,1524,1202,1120,31,3,4.663221082,3.0962210819999996,0.285847231,2.647544869,7.150651456517782,16.167930549700294,-9.017279093182514,46,38,225,93,170,80,0.15042648651612903,0.01922218133472522,3.0183727034120733,10.21505376344086,0.6048387096774194,0.25
791,4,371,2011,1646,1592,48,5,3.6045950893999996,3.6045950893999996,0.6698262690000001,2.5128075403999994,7.655511514642543,21.38060292701242,-13.725091412369874,63,60,300,158,193,110,0.07509573102916665,0.020634801926260226,3.13276976628543,16.172506738544474,0.8086253369272237,0.42587601078167114
792,4,409,1707,1287,1209,26,4,1.5781715056999999,1.5781715056999999,0.456050645,0.9731144827,5.391042271123412,14.548907521360764,-9.157865250237352,45,37,237,108,178,91,0.06069890406538461,0.013181032447734504,2.6362038664323375,9.04645476772616,0.5794621026894865,0.26405867970660146
794,3,338,1435,1121,1131,41,2,3.057649911,3.057649911,0.3745117354,1.9282536556,6.454696149818524,15.237042342823715,-8.782346193005191,50,42,220,137,173,108,0.07457682709756097,0.019096734171060722,3.484320557491289,12.42603550295858,0.650887573964497,0.40532544378698226
795,3,284,1094,844,835,11,3,1.2341124509999999,1.2341124509999999,0.764928034,0.469184417,3.208210276365854,8.682970818416367,-5.4747605420505145,33,17,133,48,106,40,0.11219204099999999,0.011296515057626246,3.0164533820840953,5.985915492957746,0.46830985915492956,0.16901408450704225
797,3,315,1125,799,815,33,4,3.8304064883000004,3.0469064883000003,0.6737173127,1.5161798586000002,5.2555398592641325,11.996881751030855,-6.741341891766723,48,45,177,111,132,82,0.1160729238878788,0.016684253521473437,4.266666666666667,14.285714285714285,0.5619047619047619,0.3523809523809524
799,3,303,1190,890,908,30,3,3.201549268,2.418049268,1.1116615650000001,0.936090184,6.007767773450926,13.772177607236127,-7.764409833785201,44,38,195,100,145,80,0.10671830893333333,0.01982761641402946,3.697478991596639,12.541254125412541,0.6435643564356436,0.33003300330033003
907,3,311,1353,1061,1030,24,1,2.218980701,1.435480701,0.390199985,0.973265344,4.549327075182083,12.960787942433337,-8.411460867251254,49,29,175,88,141,72,0.09245752920833333,0.01462806133499062,3.621581670362158,9.32475884244373,0.5627009646302251,0.2829581993569132
941,5,535,3005,2532,2307,43,10,4.99378704,4.99378704,2.096863812,2.619866098,12.150912409774248,30.84068532312775,-18.689772913353497,101,68,379,166,263,140,0.1161345823255814,0.022711985812662146,3.361064891846922,12.710280373831775,0.708411214953271,0.3102803738317757
1833,3,307,1571,1322,1381,35,2,3.9286255290000005,3.1451255290000004,0.6495574040000001,1.841154112,7.7341722910235156,17.979651965791813,-10.245479674768298,63,61,231,121,155,91,0.1122464436857143,0.025192743618969105,4.010184595798854,19.86970684039088,0.752442996742671,0.3941368078175896
1839,4,397,2201,1833,1892,46,3,3.9385379416,3.9385379416,1.1988508660000001,2.4964177255999997,10.133494449644536,26.104049264235474,-15.970554814590937,82,134,312,165,211,125,0.08562039003478261,0.025525174936132333,3.7255792821444795,33.75314861460957,0.7858942065491183,0.4156171284634761
2722,3,302,1261,975,972,28,4,3.0667434501999997,3.0667434501999997,0.5256551205,1.9985751197,5.079622819770493,12.66850978380227,-7.5888869640317775,51,41,191,102,144,85,0.10952655179285713,0.016819943111822826,4.044409199048374,13.57615894039735,0.6324503311258278,0.33774834437086093
3565,3,299,1447,1169,1112,30,4,3.8067283904,3.0232283904,0.5646743194,1.667645071,5.0785404305002455,13.395547609971798,-8.317007179471553,35,38,185,107,148,89,0.12689094634666667,0.016985085051840286,2.4187975120939877,12.709030100334449,0.6187290969899666,0.35785953177257523
3566,3,307,1406,1154,1132,20,1,1.4079916985,1.4079916985,0.32165506899999996,1.023018112,4.5848557103414604,13.260699457514448,-8.675843747172989,35,54,161,71,125,61,0.07039958492500001,0.014934383421307689,2.4893314366998576,17.58957654723127,0.5244299674267101,0.23127035830618892
4885,3,304,1248,996,1050,25,5,3.3532532786999996,2.5697532787,0.6912664249999999,1.8784868536999997,4.951352933249382,12.989292350035479,-8.037939416786095,33,50,178,92,127,76,0.134130131148,0.01628734517516244,2.644230769230769,16.447368421052634,0.5855263157894737,0.3026315789473684
