specification_group,specification_id,model_id,execution_status,coefficient_name,coefficient,standard_error,confidence_interval_lower,confidence_interval_upper,transformed_effect,sample_size,match_count,team_count,convergence_status,warning_flags,unavailable_reason,primary_family,baseline_coefficient,baseline_sample_size,coefficient_sign,sign_consistent_with_primary,magnitude_ratio_to_primary,confidence_interval_width,sample_size_change
mixed_state_duration_proportions,mixed_duration_weighted,robust_intensity:mixed_duration_weighted,executed,score_state[leading],-0.04162356563467215,0.03337528258291644,-0.10703911949718838,0.023791988227844077,0.9592308000555733,2631,64,32,converged,overdispersion,,intensity,-0.03211925369935344,2379.0,negative,True,1.2959069978487712,0.13083110772503245,252.0
mixed_state_duration_proportions,mixed_duration_weighted,robust_intensity:mixed_duration_weighted,executed,score_state[trailing],0.12861712613787063,0.043839403751673396,0.042691894784590775,0.21454235749115047,1.137254615731704,2631,64,32,converged,overdispersion,,intensity,0.13513832305166187,2379.0,positive,True,0.95174428121845,0.17185046270655968,252.0
mixed_state_duration_proportions,mixed_duration_weighted,robust_efficiency:mixed_duration_weighted,executed,score_state[leading],-0.09801870516225418,0.07253877494087868,-0.24019470404637638,0.04415729372186804,0.9066319448976782,2142,64,32,converged,,,efficiency,-0.08558904057947112,2054.0,negative,True,1.1452249551885312,0.28435199776824444,88.0
mixed_state_duration_proportions,mixed_duration_weighted,robust_efficiency:mixed_duration_weighted,executed,score_state[trailing],0.20469638911288676,0.07459911615789287,0.058482121443416746,0.3509106567823568,1.227152431559892,2142,64,32,converged,,,efficiency,0.2309362293995601,2054.0,positive,True,0.8863762504701078,0.29242853533894003,88.0
exclude_red_card_affected,red_card_free,robust_intensity:red_card_free,executed,score_state[leading],-0.03211925369935344,0.035991177220832594,-0.10266196105218532,0.03842345365347845,0.9683910909729442,2379,64,32,converged,overdispersion,,intensity,-0.03211925369935344,2379.0,negative,True,1.0,0.14108541470566377,0.0
exclude_red_card_affected,red_card_free,robust_intensity:red_card_free,executed,score_state[trailing],0.13513832305166187,0.04770538961309763,0.04163575940999052,0.2286408866933332,1.144695111121934,2379,64,32,converged,overdispersion,,intensity,0.13513832305166187,2379.0,positive,True,1.0,0.18700512728334268,0.0
exclude_red_card_affected,red_card_free,robust_efficiency:red_card_free,executed,score_state[leading],-0.08558904057947112,0.07419462245906103,-0.23101050059923073,0.0598324194402885,0.9179714027094739,2054,64,32,converged,,,efficiency,-0.08558904057947112,2054.0,negative,True,1.0,0.2908429200395192,0.0
exclude_red_card_affected,red_card_free,robust_efficiency:red_card_free,executed,score_state[trailing],0.2309362293995601,0.07705315195620506,0.07991205156539818,0.38196040723372204,1.2597789000307358,2054,64,32,converged,,,efficiency,0.2309362293995601,2054.0,positive,True,1.0,0.3020483556683239,0.0
group_stage_only,group_stage,robust_intensity:group_stage,executed,score_state[leading],-0.05637004013098551,0.0422090148019675,-0.1390997091428418,0.02635962888087079,0.9451893131929097,1794,48,32,converged,overdispersion,,intensity,-0.03211925369935344,2379.0,negative,True,1.7550233470125816,0.1654593380237126,-585.0
group_stage_only,group_stage,robust_intensity:group_stage,executed,score_state[trailing],0.09768549486575553,0.059238586011622296,-0.01842213371702417,0.21379312344853524,1.1026159521929357,1794,48,32,converged,overdispersion,,intensity,0.13513832305166187,2379.0,positive,True,0.7228556094218475,0.2322152571655594,-585.0
group_stage_only,group_stage,robust_efficiency:group_stage,executed,score_state[leading],-0.14907190167398393,0.09091214661372835,-0.3272597090368915,0.02911590568892361,0.8615071688643827,1537,48,32,converged,,,efficiency,-0.08558904057947112,2054.0,negative,True,1.7417171715526794,0.35637561472581514,-517.0
