specification_id,model_id,coefficient_name,execution_status,sample_size,match_count,team_count,coefficient,standard_error,confidence_interval,transformed_effect,convergence_status,warning_flags,unavailable_reason,baseline_coefficient,baseline_sample_size,coefficient_sign,sign_consistent_with_baseline,magnitude_ratio_to_baseline,sample_size_change
homogeneous_state_segments,primary_shots,score_state[trailing],executed,626,64,32,0.1485804047047119,0.08129366433443758,"[-0.010755177390785742, 0.30791598680020954]",1.1601860784433224,converged,,,0.020410493440028835,2780.0,positive,True,7.279608655286974,-2154.0
homogeneous_state_segments,primary_pressure_events,score_state[leading],executed,626,64,32,0.05707432540960766,0.04135663911270508,"[-0.023984687251294295, 0.13813333807050962]",1.0587344983464622,converged,,,0.0889682751803099,2780.0,positive,True,0.6415132281022249,-2154.0
homogeneous_state_segments,primary_pressure_events,score_state[trailing],executed,626,64,32,-0.049804043441213086,0.04028096759013776,"[-0.1287547399178831, 0.029146653035456924]",0.9514158424096655,converged,,,0.02409703127842907,2780.0,negative,False,2.0668124162579375,-2154.0
homogeneous_state_segments,primary_pressure_regains_5s,score_state[leading],executed,599,64,32,-0.2209218143424417,0.10055907125165951,"[-0.4180175939956944, -0.023826034689189063]",0.801779365486529,converged,,,-0.1674069805680009,2675.0,negative,True,1.3196690699089637,-2076.0
homogeneous_state_segments,primary_pressure_regains_5s,score_state[trailing],executed,599,64,32,0.08996810916208957,0.0891058540125904,"[-0.08467936470258762, 0.26461558302676674]",1.0941393901268786,converged,,,0.1466456193368444,2675.0,positive,True,0.6135069671289204,-2076.0
homogeneous_state_segments,primary_xg_per_effective_10min,score_state[leading],executed,626,64,32,0.015122456010186597,0.05366007418994934,"[-0.09005128940211411, 0.1202962014224873]",0.015122456010186597,converged,zero_heavy,,0.0458286951583053,2780.0,positive,True,0.3299778873901897,-2154.0
homogeneous_state_segments,primary_xg_per_effective_10min,score_state[trailing],executed,626,64,32,0.1012241703230013,0.05931230848936312,"[-0.015027954316150421, 0.217476294962153]",0.1012241703230013,converged,zero_heavy,,0.0160894284285365,2780.0,positive,True,6.291346567878588,-2154.0
homogeneous_state_segments,primary_xt_per_effective_10min,score_state[leading],executed,626,64,32,-0.03695865817859195,0.020254698614842817,"[-0.07665786746368387, 0.0027405511064999694]",-0.03695865817859195,converged,zero_heavy,,-0.02158721293134088,2780.0,negative,True,1.7120625203513142,-2154.0
homogeneous_state_segments,primary_xt_per_effective_10min,score_state[trailing],executed,626,64,32,0.003497477242659832,0.027034393729247062,"[-0.049489934466664415, 0.05648488895198407]",0.003497477242659832,converged,zero_heavy,,0.02916053021743066,2780.0,positive,True,0.11993873967933616,-2154.0
homogeneous_state_segments,primary_mean_pass_length,score_state[leading],executed,609,64,32,1.0061491794508695,0.3887810602167879,"[0.24413830142596527, 1.7681600574757736]",1.0061491794508695,converged,,,1.1987933480230457,2761.0,positive,True,0.8393016036584874,-2152.0
homogeneous_state_segments,primary_mean_pass_length,score_state[trailing],executed,609,64,32,-1.136936116705884,0.3478437982636746,"[-1.8187099613026863, -0.4551622721090818]",-1.136936116705884,converged,,,-1.7218907058064938,2761.0,negative,True,0.6602835550897346,-2152.0
homogeneous_state_segments,primary_pass_directness,score_state[leading],executed,609,64,32,0.049117570192444907,0.01393924899566231,"[0.021796642160946778, 0.07643849822394304]",0.049117570192444907,converged,,,0.046866524110174265,2761.0,positive,True,1.0480310013385858,-2152.0
homogeneous_state_segments,primary_pass_directness,score_state[trailing],executed,609,64,32,-0.06684589461573046,0.011729882066331144,"[-0.0898364634657395, -0.04385532576572142]",-0.06684589461573046,converged,,,-0.07688310614792317,2761.0,negative,True,0.8694484128557305,-2152.0
homogeneous_state_segments,primary_pass_completion_rate,score_state[leading],executed,609,64,32,-0.03820338506403276,0.05736931820700145,"[-0.1506472487497556, 0.07424047862169009]",0.9625171593682649,converged,,,-0.042290253346387044,2761.0,negative,True,0.9033614613542287,-2152.0
homogeneous_state_segments,primary_pass_completion_rate,score_state[trailing],executed,609,64,32,0.22885370843278827,0.044200467151775606,"[0.14222079281530808, 0.31548662405026845]",1.2571581139261037,converged,,,0.20543247762906752,2761.0,positive,True,1.114009386802074,-2152.0
homogeneous_state_segments,primary_forward_pass_share,score_state[leading],executed,609,64,32,-0.022894525467553356,0.028632399281160806,"[-0.07901402805862853, 0.03322497712352182]",0.9773655655129843,converged,,,-0.003779342214765854,2761.0,negative,True,6.057806932144081,-2152.0
homogeneous_state_segments,primary_forward_pass_share,score_state[trailing],executed,609,64,32,-0.10928339711199855,0.025770080901803532,"[-0.15979275567953347, -0.058774038544463635]",0.8964763226942426,converged,,,-0.08898335649200226,2761.0,negative,True,1.228133006219212,-2152.0
homogeneous_state_segments,primary_long_pass_share,score_state[leading],executed,609,64,32,0.10712316700253377,0.04837223129125271,"[0.01231359367167846, 0.2019327403333891]",1.1130713396974814,converged,,,0.10535505077158305,2761.0,positive,True,1.0167824534087513,-2152.0
