match_id,team_id,opponent_id,pressure_events,pressure_sequences,counterpress_events,high_pressure_events,pressure_events_per_30_opponent_passes,pressure_events_per_100_opponent_actions,pressure_events_per_opponent_possession,eligible_opponent_possession_seconds,pressure_events_per_opponent_possession_minute,mean_pressure_height,median_pressure_height,pressure_regain_3s_rate,pressure_regain_5s_rate,pressure_regain_8s_rate,sequence_regain_3s_rate,sequence_regain_5s_rate,sequence_regain_8s_rate,high_regains,shots_after_pressure_regain_10s,shots_after_pressure_regain_15s,xg_after_pressure_regains,xt_after_pressure_regains,valid_pressure_360_events,pressure_360_coverage_rate
3857261,907,768,136,123,15,43,20.816326530612244,6.663400293973543,1.6585365853658536,1363.0,5.986793837123992,49.66011029411764,49.21875,0.125,0.16176470588235295,0.19117647058823528,0.13821138211382114,0.17073170731707318,0.1951219512195122,9,3,3,0.052074264,,128,1.0
3857261,768,907,74,69,20,30,18.8135593220339,5.808477237048666,0.9866666666666667,939.0,4.728434504792332,56.710641891891896,59.849999999999994,0.14864864864864866,0.22972972972972974,0.28378378378378377,0.15942028985507245,0.2463768115942029,0.2898550724637681,4,2,2,0.7819661000000001,,62,1.0
3857290,773,2722,143,113,33,53,20.526315789473685,8.06997742663657,1.7439024390243902,1527.0,5.618860510805501,52.317657342657334,54.6875,0.11888111888111888,0.16783216783216784,0.23776223776223776,0.13274336283185842,0.19469026548672566,0.25663716814159293,5,2,2,0.319172775,,129,1.0
3857290,2722,773,145,124,31,49,23.387096774193548,7.927829414980864,1.6666666666666667,1415.0,6.148409893992933,51.18870689655172,55.2125,0.13793103448275862,0.19310344827586207,0.27586206896551724,0.1532258064516129,0.20967741935483872,0.29838709677419356,5,0,0,0.1969207665,,128,1.0
3857298,780,4885,110,97,38,66,19.411764705882355,7.019783024888322,1.2087912087912087,1285.0,5.136186770428015,64.87647727272727,67.19999999999999,0.23636363636363636,0.2818181818181818,0.38181818181818183,0.25773195876288657,0.29896907216494845,0.4020618556701031,13,3,4,0.52471621,,91,1.0
3857298,4885,780,140,118,33,32,16.091954022988507,6.4486411791801,1.4893617021276595,1595.0,5.266457680250784,42.67125,40.5125,0.12857142857142856,0.17857142857142858,0.2357142857142857,0.13559322033898305,0.17796610169491525,0.2288135593220339,3,1,2,0.0478860867,,125,1.0
3857285,787,941,112,101,16,26,32.94117647058824,7.004377736085053,1.2873563218390804,1402.0,4.793152639087018,42.259375,37.275,0.13392857142857142,0.16964285714285715,0.24107142857142858,0.1485148514851485,0.18811881188118812,0.25742574257425743,9,4,6,0.38731769000000005,,104,1.0
3857285,941,787,104,87,22,34,30.29126213592233,6.779661016949152,1.2093023255813953,1311.0,4.759725400457666,47.9171875,45.10625,0.19230769230769232,0.23076923076923078,0.28846153846153844,0.19540229885057472,0.2413793103448276,0.27586206896551724,8,0,0,0.06862412000000001,,90,1.0
3857282,1839,907,137,114,36,60,31.37404580152672,8.610936517913261,1.5222222222222221,1243.0,6.613032984714401,55.830748175182485,58.3625,0.18248175182481752,0.26277372262773724,0.30656934306569344,0.19298245614035087,0.2631578947368421,0.30701754385964913,7,0,1,0.0538764746,,124,1.0
3857282,907,1839,128,110,22,29,19.49238578680203,6.106870229007633,1.4883720930232558,1467.0,5.23517382413088,47.86796875,45.98125,0.234375,0.296875,0.34375,0.24545454545454545,0.2636363636363636,0.3090909090909091,8,0,0,0.032130886,,119,1.0
